category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Chupacabra,88,47,44,0,-2,100,100,-2,56,-2,67,-2,56,37,44,-2,-2,-2,-2,18,-2,-2,68,100,-2,67,-2,88,79,61,100,86,100,50,40,25,54,43,33,70,57,-2,20,29,-2,70,47,40,56,0,-2,67,36,59,-2,100,43,57,25,53,76,62,30,33,-2,0,100,100,71,54,100,100,-2,81,64,77,0,40,50,48,-2,0,38,66
Ciri,45,40,55,0,-2,50,-2,-2,49,-2,50,0,62,0,54,-2,-2,-2,-2,40,-2,32,-2,59,-2,28,-2,43,38,60,0,21,100,47,40,0,77,100,73,17,100,-2,25,50,-2,0,67,50,23,36,-2,69,13,38,-2,100,50,40,0,40,26,50,60,33,-2,0,75,100,42,42,0,-2,-2,64,56,38,100,17,59,58,-2,67,60,34
Cloak & Dagger,56,66,-2,33,-2,60,61,-2,0,-2,44,60,67,80,53,33,-2,62,-2,40,-2,0,41,-2,-2,0,14,0,-2,75,43,56,100,50,78,62,100,27,0,-2,75,-2,35,25,-2,-2,-2,70,50,78,-2,80,67,100,-2,41,50,65,0,80,75,-2,50,44,-2,53,-2,50,0,42,44,67,29,100,40,59,100,100,33,-2,-2,50,33,56
Cloak & Dagger - Alt 1.0,-2,-2,-2,-2,0,-2,-2,50,-2,80,-2,-2,-2,-2,-2,-2,-2,-2,67,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,67,-2,-2,50,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,25,-2,-2,-2,-2,-2
Daredevil,70,57,25,100,-2,62,28,-2,92,-2,58,70,64,50,58,33,-2,50,-2,51,-2,33,72,100,-2,-2,50,59,68,19,36,67,50,55,63,48,76,0,61,70,0,-2,60,13,-2,83,27,56,80,64,-2,49,67,61,-2,60,40,82,40,0,54,61,79,53,-2,39,58,100,68,64,27,-2,0,33,50,73,31,50,82,25,50,48,41,36
Deadpool,0,89,50,36,-2,-2,0,-2,81,-2,100,-2,100,65,80,0,-2,67,-2,75,-2,-2,-2,86,-2,50,-2,50,-2,0,100,0,0,0,100,0,100,0,-2,100,32,-2,36,26,-2,-2,-2,-2,50,-2,-2,-2,43,78,-2,100,-2,-2,89,-2,50,-2,33,67,-2,100,100,33,-2,100,30,50,38,-2,100,29,33,-2,50,-2,50,75,100,0
Doctor Strange,46,0,40,-2,-2,50,0,-2,49,-2,24,50,41,50,75,0,-2,-2,-2,67,-2,13,57,100,-2,41,50,-2,30,36,0,36,35,50,100,67,53,0,46,50,0,-2,-2,-2,-2,-2,-2,14,56,33,-2,48,-2,58,-2,50,-2,68,0,25,100,47,0,13,-2,50,43,49,70,17,15,-2,50,20,75,25,0,62,46,50,-2,37,26,57
Donatello,33,40,50,0,-2,17,-2,-2,78,-2,100,40,67,-2,0,0,-2,-2,-2,-2,-2,21,63,-2,-2,32,-2,70,-2,100,-2,67,-2,0,55,0,43,0,-2,-2,50,-2,100,-2,-2,71,63,40,0,0,-2,50,22,0,-2,-2,33,27,-2,0,50,82,33,50,-2,0,60,75,58,50,-2,-2,-2,0,-2,29,100,60,33,-2,-2,100,88,88
Dr. Jill Trent,52,44,50,0,-2,28,20,-2,39,-2,46,35,57,10,41,0,-2,-2,-2,0,-2,39,40,25,-2,81,100,64,0,-2,10,30,50,41,14,65,64,30,51,31,-2,-2,0,0,-2,14,67,70,45,60,-2,51,0,27,-2,50,0,60,50,40,0,52,53,16,-2,17,56,20,40,51,0,-2,0,62,56,28,33,33,55,50,-2,50,57,51
Dr. Sattler,54,50,100,50,-2,43,52,-2,100,-2,86,55,100,7,33,43,-2,0,-2,27,-2,0,100,57,-2,64,0,100,-2,90,-2,90,100,88,0,33,100,0,31,56,44,-2,50,0,-2,-2,100,23,50,48,-2,100,-2,45,-2,18,-2,88,0,0,63,67,65,37,-2,100,100,64,-2,53,57,0,0,69,31,29,38,43,62,-2,-2,60,0,40
Dracula,49,33,59,25,-2,40,67,-2,50,-2,64,42,78,25,37,25,-2,0,-2,41,-2,14,79,44,-2,33,100,64,33,70,10,-2,64,62,64,38,72,0,53,60,39,-2,26,21,-2,78,100,39,50,41,-2,59,0,68,-2,31,75,88,11,50,44,67,53,49,-2,13,80,69,50,24,30,0,0,72,79,59,67,40,63,100,0,33,44,80
Elektra,17,0,25,-2,-2,0,0,-2,7,-2,57,20,33,33,22,25,-2,0,-2,32,-2,0,0,0,-2,50,100,65,-2,50,0,36,-2,0,-2,47,50,0,33,18,0,-2,0,33,-2,-2,-2,61,-2,71,-2,40,-2,27,-2,20,0,50,-2,0,0,-2,5,21,-2,33,44,67,-2,24,100,50,100,14,15,50,-2,0,0,0,-2,45,20,17
Eredin,46,0,56,-2,-2,22,50,-2,39,-2,36,0,40,22,60,-2,-2,0,-2,59,-2,50,53,50,-2,45,100,50,100,59,12,38,100,-2,53,-2,57,0,37,60,0,-2,-2,0,-2,-2,-2,38,75,47,-2,61,0,0,-2,0,-2,44,-2,33,31,0,25,41,-2,80,25,67,40,29,25,-2,100,88,63,50,40,42,33,59,-2,33,54,59
Geralt of Rivia,73,64,41,-2,-2,53,39,-2,64,-2,25,64,74,46,60,50,-2,-2,-2,25,-2,60,60,22,-2,37,0,0,45,86,100,36,-2,47,-2,38,63,67,40,52,27,-2,50,36,-2,71,44,45,50,45,-2,75,15,53,-2,33,50,70,50,0,40,63,73,40,-2,36,67,100,47,86,10,-2,100,67,42,65,53,54,48,63,-2,0,39,65
Ghost Rider,81,38,40,33,-2,64,76,-2,52,-2,69,18,100,58,58,40,-2,-2,-2,55,-2,75,100,38,-2,52,100,33,100,35,67,63,53,-2,63,-2,46,67,83,73,86,-2,54,83,-2,-2,-2,62,0,61,-2,50,100,83,-2,56,-2,86,100,100,0,100,55,0,-2,100,92,89,0,53,0,0,33,50,96,69,100,67,85,-2,0,58,50,63
Golden Bat,47,48,45,0,-2,53,0,-2,45,-2,11,14,40,34,38,-2,-2,0,-2,65,-2,46,23,0,-2,24,0,48,57,36,0,28,50,43,38,54,-2,33,72,17,0,-2,14,17,-2,20,-2,44,50,60,-2,32,50,30,-2,50,-2,47,0,55,20,79,60,37,-2,13,22,60,50,56,25,50,100,69,57,21,67,33,64,25,-2,78,39,22
Hamlet,58,57,25,100,-2,72,89,-2,67,-2,71,50,67,63,63,33,-2,75,-2,33,-2,57,0,73,-2,100,100,100,100,70,100,100,100,100,33,33,67,-2,100,-2,50,-2,75,100,-2,-2,-2,64,44,80,-2,50,60,67,-2,63,-2,33,86,91,100,-2,73,60,-2,33,100,100,0,66,62,0,0,-2,67,67,67,60,40,67,-2,50,-2,50
Houdini,56,25,17,0,50,29,43,0,65,100,65,27,45,11,46,100,0,-2,50,22,-2,67,27,100,33,39,-2,54,-2,49,69,47,67,63,60,17,28,0,-2,13,0,0,33,60,33,33,-2,30,33,36,-2,76,-2,42,-2,0,50,25,50,53,27,35,33,63,-2,56,70,38,75,35,25,0,100,47,54,48,42,40,35,22,0,7,24,52
InGen,12,26,71,0,-2,25,26,-2,37,-2,38,39,100,28,24,50,-2,33,-2,83,-2,30,83,-2,-2,30,0,50,-2,69,44,40,82,40,48,27,83,-2,88,-2,22,-2,26,27,-2,75,-2,46,100,73,-2,73,-2,48,-2,33,100,93,-2,100,29,50,41,41,-2,50,55,74,-2,21,0,25,50,79,59,53,80,48,53,-2,50,74,100,93
Invisible Man,54,36,0,50,-2,35,67,-2,68,-2,50,100,100,57,72,52,-2,40,-2,88,-2,43,0,25,-2,100,68,100,50,-2,56,61,100,100,73,14,100,50,100,78,-2,-2,46,71,-2,-2,100,91,100,43,-2,89,100,50,-2,92,-2,100,47,0,100,71,88,63,-2,0,33,100,-2,92,29,0,60,100,67,67,100,100,-2,0,17,-2,50,100
Invisible Man - Alt 1.0,-2,-2,-2,-2,0,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,50,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Jekyll & Hyde,100,48,-2,27,-2,60,44,-2,80,-2,100,67,-2,61,36,55,-2,30,-2,33,-2,80,75,65,-2,40,64,-2,0,100,50,74,100,-2,50,46,86,25,67,74,54,-2,-2,60,-2,50,100,65,-2,62,67,100,-2,71,-2,56,100,50,61,0,50,-2,71,84,-2,100,50,75,-2,53,74,43,19,100,100,67,67,67,56,-2,46,20,-2,62
King Arthur,61,65,100,44,-2,100,54,-2,82,-2,0,33,83,70,82,75,-2,67,-2,57,-2,71,50,75,-2,88,74,-2,-2,100,100,79,67,100,64,17,83,0,40,73,29,-2,40,-2,-2,-2,-2,60,47,70,-2,91,100,83,-2,18,75,100,27,53,-2,-2,75,64,-2,50,100,100,-2,54,60,50,80,80,67,71,0,100,100,-2,44,100,100,61
King Arthur - Alt 1.0,-2,-2,-2,-2,-2,-2,-2,0,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,67,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,100,-2,-2,-2,-2,-2
Krang,45,29,33,-2,-2,42,33,-2,100,-2,-2,86,65,0,-2,-2,-2,-2,-2,100,-2,30,100,-2,-2,17,-2,-2,29,86,-2,22,-2,-2,29,-2,80,-2,67,25,-2,-2,50,-2,-2,-2,20,50,29,0,43,33,20,60,56,-2,41,69,0,67,0,75,0,-2,-2,-2,100,100,75,75,-2,-2,-2,100,-2,40,-2,25,67,-2,-2,100,100,50
Leonardo,25,11,33,-2,-2,56,-2,-2,60,-2,50,0,78,100,25,-2,-2,-2,-2,0,-2,53,33,-2,-2,73,-2,-2,37,33,0,0,-2,-2,56,-2,-2,-2,-2,-2,0,-2,0,-2,-2,80,-2,80,53,-2,-2,100,48,50,-2,-2,29,73,-2,0,-2,80,100,50,-2,100,0,-2,26,57,50,-2,-2,100,-2,56,100,22,55,-2,-2,33,100,80
Little Red Riding Hood,60,55,44,67,-2,67,40,-2,47,-2,70,27,71,62,44,14,-2,33,-2,15,-2,60,50,30,-2,44,-2,86,60,30,77,61,39,63,55,38,56,36,70,54,9,-2,35,40,-2,50,20,-2,80,43,-2,72,73,62,-2,22,40,44,38,52,29,76,75,39,-2,48,74,71,47,80,7,0,60,58,65,40,26,39,42,57,0,26,55,45
Loki,77,47,71,0,-2,25,100,-2,22,-2,27,0,57,25,45,-2,-2,0,-2,0,-2,44,77,50,-2,20,50,44,100,55,50,50,-2,25,50,100,50,56,67,0,0,-2,-2,53,-2,71,47,20,-2,80,-2,69,89,50,-2,0,100,54,60,56,52,86,25,27,-2,0,33,0,30,51,60,0,-2,69,85,66,67,20,47,67,0,0,55,77
Luke Cage,57,47,39,42,-2,61,43,-2,74,-2,34,20,20,23,30,25,-2,0,-2,8,-2,100,64,22,-2,36,-2,67,100,40,52,59,29,53,55,39,40,20,64,27,57,-2,37,30,-2,100,-2,57,20,-2,-2,63,0,50,-2,14,0,23,50,67,20,0,40,16,-2,12,52,82,100,29,29,20,0,62,64,11,31,39,29,53,0,19,30,40
Martian Invader,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,33,-2,-2,57,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
Medusa,17,26,47,-2,-2,31,11,-2,34,-2,22,42,65,20,32,0,-2,0,-2,45,-2,33,31,20,-2,51,-2,52,50,49,0,41,60,39,25,50,68,50,24,27,11,-2,0,9,-2,67,0,28,31,37,-2,-2,0,13,-2,0,50,51,100,17,26,60,22,41,-2,33,49,49,0,30,-2,-2,-2,29,55,27,50,21,26,60,-2,54,54,58
Michelangelo,100,60,100,-2,-2,100,-2,-2,100,-2,50,25,43,67,73,-2,-2,-2,-2,100,-2,64,88,33,-2,33,57,-2,78,100,-2,100,-2,100,85,0,50,40,-2,-2,0,-2,-2,0,-2,80,52,27,11,100,-2,100,-2,100,-2,50,52,46,-2,43,58,60,0,43,-2,-2,-2,25,36,-2,50,50,50,-2,63,76,-2,80,67,-2,-2,0,100,50
Moon Knight,60,45,73,100,-2,67,34,-2,53,-2,35,27,77,19,35,0,-2,100,-2,26,-2,41,62,0,-2,39,22,42,100,73,55,32,73,100,47,17,70,33,58,52,50,-2,29,17,-2,40,50,38,50,50,-2,87,0,-2,-2,43,-2,41,100,46,50,55,61,31,-2,49,44,80,67,39,8,50,0,90,57,29,22,40,59,-2,0,23,78,74
Mothman,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,44,-2,-2,-2,-2,100,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,62,-2,-2,-2,-2,-2,-2
Ms. Marvel,100,71,0,-2,-2,78,38,-2,86,-2,35,78,0,64,67,0,-2,67,-2,30,-2,0,0,59,-2,40,0,50,-2,50,82,69,80,100,67,44,50,37,100,67,8,-2,44,82,-2,-2,-2,78,100,86,-2,100,50,57,-2,-2,0,54,78,25,100,0,65,38,-2,60,64,25,-2,65,75,67,63,100,50,36,50,0,67,-2,0,57,50,77
Muhammad Ali,100,33,0,-2,-2,50,-2,-2,100,-2,0,100,67,-2,43,0,-2,-2,-2,50,-2,57,50,50,-2,60,-2,-2,67,100,-2,25,100,-2,50,-2,-2,-2,50,0,-2,-2,0,25,-2,59,71,60,0,100,-2,50,48,-2,-2,100,-2,60,-2,50,0,76,0,-2,-2,0,-2,-2,60,-2,100,-2,-2,100,-2,40,60,67,94,100,-2,0,-2,100
Nikola Tesla,60,59,31,67,-2,46,33,-2,66,-2,33,27,46,33,68,-2,-2,0,-2,26,-2,43,60,35,-2,18,-2,32,73,40,13,13,50,56,30,14,53,67,75,7,0,-2,50,0,-2,31,27,56,46,77,-2,49,54,59,-2,46,40,-2,60,55,33,76,67,24,-2,32,53,71,71,56,100,100,-2,42,64,32,47,51,56,62,0,27,55,40
Oda Nobunaga,77,43,0,33,-2,100,67,-2,100,-2,33,63,100,45,100,50,-2,71,-2,50,-2,75,100,100,-2,60,11,100,-2,50,100,89,-2,-2,50,0,100,14,50,-2,53,-2,39,73,-2,100,-2,62,40,50,-2,0,-2,0,-2,22,-2,40,-2,67,100,-2,21,65,-2,100,100,100,100,100,48,0,50,100,0,35,67,67,47,-2,0,67,100,100
Pandora,67,45,50,100,-2,60,-2,-2,88,-2,65,33,65,64,33,-2,-2,100,-2,57,-2,47,60,20,-2,100,-2,75,100,60,100,50,100,67,100,0,45,9,47,0,100,-2,100,47,-2,33,100,48,44,33,-2,83,57,54,-2,75,50,45,33,-2,70,86,29,67,-2,0,100,100,100,33,-2,50,-2,50,71,63,0,57,50,63,-2,-2,40,54
Philippa,67,56,44,67,-2,80,50,-2,100,-2,63,100,40,48,57,-2,-2,0,-2,33,-2,24,74,25,-2,46,50,0,50,100,38,56,100,69,60,100,80,0,73,71,0,-2,50,-2,-2,100,-2,71,48,80,-2,74,42,50,-2,0,100,67,0,30,-2,0,82,32,-2,70,50,100,-2,63,33,-2,100,67,84,67,56,29,50,54,0,0,59,67
