category,Achilles,Alice,Ancient Leshen,Angel,Angel - Alt 1.0,Annie Christmas,Beowulf,Beowulf - Alt 1.0,Bigfoot,Bigfoot - Alt 1.0,Black Panther,Black Widow,Blackbeard,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Giles - Alt 1.0,Buffy Xander,Buffy Xander - Alt 1.0,Bullseye,Bullseye - Alt 1.0,Chupacabra,Ciri,Cloak & Dagger,Cloak & Dagger - Alt 1.0,Daredevil,Deadpool,Doctor Strange,Donatello,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Invisible Man - Alt 1.0,Jekyll & Hyde,King Arthur,King Arthur - Alt 1.0,Krang,Leonardo,Little Red Riding Hood,Loki,Luke Cage,Martian Invader,Medusa,Michelangelo,Moon Knight,Mothman,Ms. Marvel,Muhammad Ali,Nikola Tesla,Oda Nobunaga,Pandora,Philippa,Raphael,Raptors,Robin Hood,Robin Hood - Alt 1.0,Shakespeare,She-Hulk,Sherlock Holmes,Shredder,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Buffy Xander,9,5,0,5,0,3,6,0,5,0,2,0,2,5,13,1,0,0,0,17,0,0,0,13,0,4,6,0,0,0,3,3,1,1,0,0,1,4,0,3,5,0,10,6,0,0,0,12,1,4,0,2,0,1,0,6,0,2,7,1,2,0,16,38,0,2,0,3,0,15,11,2,5,1,2,1,1,1,0,0,1,1,0,9
Buffy Xander - Alt 1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullseye,57,32,3,7,0,19,30,0,13,0,19,37,13,28,66,11,0,17,0,0,0,11,15,30,0,73,4,43,0,3,33,49,44,27,4,29,17,6,27,29,17,0,18,30,0,1,2,52,6,25,0,22,1,38,0,23,2,54,2,7,9,3,38,82,0,10,6,19,4,18,7,1,3,29,43,44,11,7,31,0,1,47,4,93
Bullseye - Alt 1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Chupacabra,24,27,8,1,0,1,4,0,25,0,14,0,63,35,12,0,0,0,0,11,0,0,19,2,0,6,0,8,19,30,2,7,1,4,5,4,13,7,2,10,7,0,5,14,0,16,19,30,72,1,0,21,25,22,0,1,14,14,4,82,16,29,10,8,0,2,2,1,24,12,2,1,0,27,7,46,5,10,30,23,0,3,24,38
Ciri,65,10,56,1,0,2,0,0,59,0,6,2,21,1,23,0,0,0,0,15,0,19,0,44,0,39,0,6,8,47,1,14,1,90,50,4,30,2,33,6,1,0,4,2,0,2,3,21,13,25,0,29,8,13,0,1,4,49,1,10,66,14,77,12,0,2,4,1,12,19,3,0,0,14,9,34,1,5,63,12,0,3,92,38
Cloak & Dagger,16,31,0,3,0,15,18,0,3,0,20,15,3,3,37,3,0,13,0,30,0,2,44,0,0,3,7,1,0,4,14,18,1,2,9,21,2,14,1,0,20,0,17,8,0,0,0,43,5,9,0,5,4,3,0,37,2,20,1,5,4,0,26,24,0,17,0,2,1,12,9,3,17,4,6,22,1,1,3,0,0,14,3,34
Cloak & Dagger - Alt 1.0,0,0,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Daredevil,123,28,12,1,0,26,25,0,50,0,50,66,39,20,31,3,0,4,0,73,0,6,39,3,0,0,4,39,19,42,25,82,60,64,43,25,33,2,88,53,2,0,10,8,0,18,15,91,10,95,0,85,9,38,0,5,10,44,10,2,24,44,47,19,0,28,55,13,19,50,14,0,2,83,117,45,13,30,73,4,2,46,61,158
Deadpool,1,9,2,11,0,0,1,0,16,0,1,0,1,31,5,1,0,6,0,4,0,0,0,7,0,4,0,2,0,2,2,1,3,1,1,3,2,1,0,3,25,0,25,34,0,0,0,0,2,0,0,0,7,9,0,4,0,0,9,0,2,0,3,3,0,1,1,3,0,1,10,4,8,0,1,7,3,0,2,0,8,4,1,5
Doctor Strange,28,2,5,0,0,6,2,0,39,0,41,44,27,2,24,2,0,0,0,43,0,8,6,1,0,39,2,0,10,14,3,11,17,2,1,6,83,1,97,2,1,0,0,0,0,0,0,7,39,30,0,81,0,24,0,4,0,91,1,8,2,15,2,8,0,2,117,41,10,6,20,0,2,45,83,12,2,13,52,2,0,75,23,80
Donatello,6,15,4,1,0,6,0,0,8,0,1,5,24,0,3,1,0,0,0,0,0,19,8,0,0,19,0,10,0,6,0,10,0,1,22,1,7,1,0,0,2,0,1,0,0,41,33,10,6,1,0,2,36,3,0,0,30,15,0,1,2,56,3,2,0,1,5,4,31,3,0,0,0,1,0,7,2,4,21,0,0,1,8,7
Dr. Jill Trent,98,17,50,1,0,92,10,0,156,0,90,31,34,10,27,4,0,0,0,3,0,30,47,4,0,42,2,14,6,0,10,37,3,27,14,17,120,10,198,26,0,0,2,3,0,7,3,89,44,136,0,144,4,62,0,8,1,188,4,15,5,27,32,19,0,6,41,5,10,99,1,0,1,66,32,25,9,18,89,8,0,8,62,94
Dr. Sattler,50,70,2,2,0,7,23,0,11,0,7,11,1,14,58,7,0,3,0,33,0,2,1,14,0,25,2,3,0,10,0,10,3,17,1,12,7,1,51,18,16,0,6,1,0,0,1,31,2,27,0,6,0,38,0,11,0,8,5,2,24,3,17,46,0,1,2,11,0,43,7,2,2,16,62,68,8,7,37,0,0,5,1,87
Dracula,122,49,34,4,0,94,60,0,113,0,55,50,9,51,79,8,0,3,0,49,0,7,14,18,0,82,1,11,10,37,10,0,22,13,56,56,32,10,91,67,83,0,43,14,0,9,1,102,2,86,0,58,6,28,0,16,4,16,9,6,9,15,65,97,0,16,15,26,4,58,10,1,2,39,19,60,18,25,51,1,1,18,16,61
Elektra,36,3,4,0,0,1,8,0,14,0,7,5,3,3,9,4,0,1,0,44,0,1,1,1,0,60,3,17,0,3,3,22,0,2,0,17,2,1,18,11,4,0,1,3,0,0,0,28,0,17,0,15,0,11,0,5,1,4,0,1,2,0,19,24,0,3,16,21,0,17,2,2,1,22,20,4,0,1,4,1,0,11,5,36
Eredin,35,4,43,0,0,9,2,0,18,0,11,3,10,9,75,0,0,1,0,27,0,4,90,2,0,64,1,2,1,27,17,13,2,0,51,0,28,1,76,10,1,0,0,1,0,0,0,8,4,32,0,33,1,10,0,1,0,34,0,3,65,1,4,32,0,5,8,3,5,7,4,0,1,8,8,70,15,12,52,27,0,3,78,96
Geralt of Rivia,63,36,63,0,0,74,28,0,44,0,4,47,31,13,5,2,0,0,0,4,0,5,50,9,0,43,1,1,22,14,1,56,0,51,0,8,8,3,15,33,15,0,2,11,0,17,16,40,8,44,0,16,13,47,0,3,12,10,2,6,29,27,33,5,0,22,3,2,15,7,10,0,1,6,33,17,15,35,40,24,0,3,36,17
Ghost Rider,31,29,5,3,0,25,34,0,25,0,26,11,5,26,19,10,0,0,0,29,0,4,4,21,0,25,3,6,1,17,12,56,17,0,8,0,26,3,24,33,22,0,56,6,0,0,0,34,1,74,0,43,1,36,0,9,0,14,1,1,1,1,38,8,0,1,13,18,2,32,2,2,3,58,26,42,2,9,13,0,1,12,4,27
Golden Bat,87,25,11,2,0,49,1,0,327,0,18,14,30,47,12,0,0,1,0,17,0,13,30,2,0,33,2,83,7,120,7,32,2,28,8,26,0,3,136,23,9,0,14,12,0,5,0,50,34,120,0,171,3,61,0,16,0,195,2,11,5,19,57,19,0,8,73,48,4,73,4,2,1,108,35,34,15,9,88,8,0,18,23,64
Hamlet,12,21,4,1,0,36,9,0,3,0,35,9,2,8,15,6,0,4,0,6,0,7,2,14,0,2,1,1,1,10,1,10,1,1,3,3,3,0,7,0,2,0,4,4,0,0,0,11,17,5,0,2,4,24,0,19,0,3,14,9,6,0,15,13,0,21,3,3,2,35,13,2,1,0,1,6,15,20,5,3,0,4,0,2
Houdini,129,20,18,1,2,35,28,1,114,1,141,55,20,18,83,1,1,0,2,27,0,2,33,1,3,88,0,97,0,198,51,91,18,76,15,24,136,7,0,39,2,1,3,5,3,3,0,66,6,182,0,152,0,69,0,3,2,126,6,15,51,20,21,41,0,9,81,71,4,52,8,2,1,131,65,117,12,10,46,18,2,56,49,236
InGen,67,38,17,1,0,16,38,0,81,0,29,36,4,18,41,4,0,3,0,29,0,10,6,0,0,53,3,2,0,26,18,67,11,10,33,33,23,0,39,0,9,0,19,15,0,4,0,111,3,67,0,26,0,86,0,3,1,27,0,1,7,2,63,27,0,8,22,31,0,38,1,4,2,47,79,51,5,44,43,0,2,19,7,30
Invisible Man,52,25,1,10,0,17,21,0,22,0,6,6,8,56,29,23,0,5,0,17,0,7,1,20,0,2,25,1,2,0,16,83,4,1,15,22,9,2,2,9,0,0,67,35,0,0,2,11,2,58,0,18,1,2,0,13,0,3,17,1,2,7,8,35,0,1,3,10,0,24,24,4,15,7,9,12,3,2,0,1,6,0,2,14
Invisible Man - Alt 1.0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jekyll & Hyde,2,27,0,11,0,5,18,0,15,0,2,3,0,72,33,22,0,10,0,18,0,5,4,17,0,10,25,0,1,2,6,43,1,0,2,56,14,4,3,19,67,0,0,53,0,2,2,26,0,60,9,4,0,28,0,27,1,4,28,1,2,0,14,19,0,1,4,8,0,19,23,7,16,5,3,6,3,3,9,0,13,5,0,13
King Arthur,18,37,1,16,0,5,23,0,17,0,1,6,12,37,11,8,0,6,0,30,0,14,2,8,0,8,34,0,0,3,1,14,3,1,11,6,12,4,5,15,35,0,53,0,0,0,0,25,15,27,0,34,1,12,0,11,4,7,21,19,0,0,8,33,0,4,1,7,0,26,15,10,5,5,3,7,1,4,3,0,9,2,1,18
King Arthur - Alt 1.0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Krang,11,14,3,0,0,12,3,0,4,0,0,7,26,1,0,0,0,0,0,1,0,16,2,0,0,18,0,0,41,7,0,9,0,0,17,0,5,0,3,4,0,0,2,0,0,0,35,4,7,1,14,3,35,5,9,0,17,26,1,3,1,52,1,0,0,0,1,2,40,4,0,0,0,1,0,20,0,8,12,0,0,1,3,7
Leonardo,8,9,3,0,0,9,0,0,5,0,2,5,18,1,8,0,0,0,0,2,0,19,3,0,0,15,0,0,33,3,1,1,0,0,16,0,0,0,0,0,2,0,2,0,0,35,0,5,11,0,0,1,27,4,0,0,24,11,0,2,0,44,1,4,0,1,1,0,35,7,1,0,0,1,0,9,1,9,22,0,0,9,4,5
Little Red Riding Hood,80,65,34,3,0,57,60,0,187,0,37,63,31,50,45,7,0,12,0,52,0,30,21,43,0,91,0,7,10,89,31,102,28,8,40,34,50,11,66,111,11,0,26,25,0,4,5,0,20,169,0,74,11,96,0,23,5,136,13,21,17,25,123,99,0,42,31,42,17,82,15,2,5,101,52,83,27,64,69,7,3,38,39,186
Loki,30,27,7,2,0,4,1,0,18,0,13,3,79,11,25,0,0,1,0,6,0,72,13,5,0,10,2,39,6,44,2,2,0,4,8,1,34,17,6,3,2,0,0,15,0,7,11,20,0,5,0,35,15,20,0,1,9,28,5,109,24,14,4,8,0,1,3,1,9,39,5,2,0,29,7,40,6,10,45,3,3,1,33,31
Luke Cage,181,75,36,38,0,71,63,0,100,0,68,50,5,26,19,4,0,4,0,25,0,1,25,9,0,95,0,30,1,136,27,86,17,32,44,74,120,5,182,67,58,0,60,27,0,1,0,169,5,0,0,91,1,167,0,7,1,120,4,3,5,1,20,19,0,25,124,11,2,41,7,5,1,122,115,36,16,28,69,19,5,16,10,146
Martian Invader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medusa,98,43,17,0,0,29,18,0,193,0,41,50,54,10,37,2,0,2,0,22,0,21,29,5,0,85,0,81,2,144,6,58,15,33,16,43,171,2,152,26,18,0,4,34,0,3,1,74,35,91,0,0,1,39,0,2,2,185,2,41,38,14,27,78,0,3,88,81,3,76,0,0,0,106,58,30,6,24,57,10,0,87,50,302
Michelangelo,3,19,3,0,0,5,0,0,4,0,18,4,28,1,6,0,0,0,0,1,0,25,8,4,0,9,7,0,36,4,0,6,0,1,13,1,3,4,0,0,1,0,0,1,0,35,27,11,15,1,0,1,0,1,0,2,18,12,0,13,9,51,3,6,0,0,0,4,44,0,2,2,2,0,13,20,0,10,18,0,0,2,3,2
Moon Knight,106,83,11,1,0,51,49,0,156,0,17,37,13,37,34,1,0,1,0,38,0,22,13,3,0,38,9,24,3,62,38,28,11,10,47,36,61,24,69,86,2,0,28,12,0,5,4,96,20,167,0,39,1,0,0,14,0,34,2,13,8,11,79,29,0,41,77,15,5,76,12,2,2,42,96,45,27,52,78,0,1,52,23,82
Mothman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
Ms. Marvel,6,24,1,0,0,9,7,0,7,0,17,9,1,11,24,3,0,6,0,23,0,1,1,37,0,5,4,4,0,8,11,16,5,1,3,9,16,19,3,3,13,0,27,11,0,0,0,23,1,7,0,2,2,14,0,0,1,13,9,4,1,1,23,16,0,20,11,4,0,17,12,3,15,2,2,11,8,4,9,0,2,7,2,13
Muhammad Ali,1,6,1,0,0,8,0,0,2,0,1,1,12,0,14,1,0,0,0,2,0,14,4,2,0,10,0,0,30,1,0,4,1,0,12,0,0,0,2,1,0,0,1,4,0,17,24,5,9,1,0,2,18,0,0,1,0,10,0,2,2,45,1,0,0,1,0,0,25,0,1,0,0,1,0,10,5,3,16,1,0,2,0,1
Nikola Tesla,84,17,26,3,0,59,3,0,116,0,51,41,26,9,36,0,0,2,0,54,0,14,49,20,0,44,0,91,15,188,8,16,4,34,10,14,195,3,126,27,3,0,4,7,0,26,11,136,28,120,0,185,12,34,0,13,10,0,5,11,12,34,87,41,0,19,89,7,17,62,1,1,0,114,50,57,19,37,179,13,1,84,48,144
Oda Nobunaga,22,7,1,3,0,1,5,0,3,0,3,16,2,20,3,4,0,7,0,2,0,4,1,1,0,10,9,1,0,4,5,9,0,0,2,1,2,14,6,0,17,0,28,21,0,1,0,13,5,4,0,2,0,2,0,9,0,5,0,3,1,0,14,17,0,3,3,1,1,1,23,1,2,2,1,20,3,6,51,0,2,3,1,3
Pandora,31,28,8,1,0,5,0,0,8,0,13,3,96,13,8,0,0,1,0,7,0,82,10,5,0,2,0,8,1,15,2,6,1,3,6,1,11,9,15,1,1,0,1,19,0,3,2,21,109,3,0,41,13,13,0,4,2,11,3,0,17,7,14,7,0,1,2,1,1,30,0,2,0,42,10,29,1,7,22,7,0,0,15,61
Philippa,9,15,34,9,0,5,0,0,2,0,28,3,5,21,41,0,0,2,0,9,0,16,66,4,0,24,2,2,2,5,24,9,2,65,29,1,5,6,51,7,2,0,2,0,0,1,0,17,24,5,0,38,9,8,0,1,2,12,1,17,0,1,17,28,0,10,2,2,0,8,3,0,1,3,24,67,16,14,42,13,1,1,41,42
Raphael,14,18,6,1,0,12,1,0,18,0,2,18,50,0,7,0,0,0,0,3,0,29,14,0,0,44,0,15,56,27,3,15,0,1,27,1,19,0,20,2,7,0,0,0,0,52,44,25,14,1,0,14,51,11,0,1,45,34,0,7,1,0,3,0,0,1,8,16,79,9,0,0,0,7,0,39,1,8,23,1,0,1,23,13
Raptors,40,31,39,4,0,32,13,0,44,0,21,74,8,21,15,5,0,16,0,38,0,10,77,26,0,47,3,2,3,32,17,65,19,4,33,38,57,15,21,63,8,0,14,8,0,1,1,123,4,20,0,27,3,79,0,23,1,87,14,14,17,3,0,57,0,25,23,74,3,41,5,12,1,34,25,83,30,71,80,7,2,39,17,79
Robin Hood,103,66,6,8,0,26,39,0,64,0,26,33,8,31,101,18,0,38,0,82,0,8,12,24,0,19,3,8,2,19,46,97,24,32,5,8,19,13,41,27,35,0,19,33,0,0,4,99,8,19,0,78,6,29,0,16,0,41,17,7,28,0,57,0,0,28,9,28,1,77,7,7,2,65,31,78,30,17,63,2,3,31,4,100
Robin Hood - Alt 1.0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Shakespeare,38,29,10,2,0,76,16,0,22,0,24,12,2,14,19,1,0,2,0,10,0,2,2,17,0,28,1,2,1,6,1,16,3,5,22,1,8,21,9,8,1,0,1,4,0,0,1,42,1,25,0,3,0,41,0,20,1,19,3,1,10,1,25,28,0,0,8,2,0,29,4,1,0,3,17,11,40,67,30,3,1,5,1,1
She-Hulk,92,16,8,1,0,10,6,0,99,0,37,37,4,8,3,0,0,0,0,6,0,2,4,0,0,55,1,117,5,41,2,15,16,8,3,13,73,3,81,22,3,0,4,1,0,1,1,31,3,124,0,88,0,77,0,11,0,89,3,2,2,8,23,9,0,8,0,24,7,25,20,0,2,88,111,5,4,5,52,1,0,59,21,81
Sherlock Holmes,22,9,6,3,0,18,14,0,40,0,28,28,18,6,15,2,0,3,0,19,0,1,1,2,0,13,3,41,4,5,11,26,21,3,2,18,48,3,71,31,10,0,8,7,0,2,0,42,1,11,0,81,4,15,0,4,0,7,1,1,2,16,74,28,0,2,24,0,5,44,0,2,0,73,28,32,3,28,17,3,0,59,25,50
Shredder,12,11,5,0,0,10,0,0,9,0,0,8,23,2,4,1,0,0,0,4,0,24,12,1,0,19,0,10,31,10,0,4,0,5,15,2,4,2,4,0,0,0,0,0,0,40,35,17,9,2,0,3,44,5,0,0,25,17,1,1,0,79,3,1,0,0,7,5,0,12,0,0,0,3,0,14,3,7,17,0,0,2,17,13
Sinbad,116,75,32,4,1,49,23,2,76,5,34,31,44,24,57,6,1,15,1,18,4,12,19,12,1,50,1,6,3,98,43,58,17,7,7,32,73,35,52,38,24,3,19,26,1,4,7,82,39,41,0,76,0,76,0,17,0,62,1,30,8,9,41,77,2,29,25,44,12,0,3,5,3,49,49,23,17,27,41,4,6,24,35,145
Spider-Man,29,4,6,1,0,12,5,0,30,0,14,17,1,36,28,8,0,11,0,7,0,2,3,9,0,14,10,20,0,1,7,10,2,4,10,2,4,13,8,1,24,0,23,15,0,0,1,15,5,7,0,0,2,12,0,12,1,1,23,0,3,0,5,7,0,4,20,0,0,3,0,5,13,4,18,5,7,8,11,1,7,12,2,5
Spike,1,4,0,8,0,3,2,0,2,0,2,0,0,10,6,2,0,2,0,1,0,1,0,3,0,0,4,0,0,0,2,1,2,0,0,2,2,2,2,4,4,0,7,10,0,0,0,2,2,5,0,0,2,2,0,3,0,1,1,2,0,0,12,7,0,1,0,2,0,5,5,0,2,3,0,3,0,1,4,1,7,1,0,3
